"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","immig_attitude"
42,100,96,32,19,61,100,42,12,0,2,2,0,79,2,"strongly unfavorable"
50,50,50,50,50,60,60,6,31,0,50,37,1,60,91,"unfavorable/indifferent"
100,100,100,100,100,100,100,100,100,70,40,100,60,100,50,"favorable"
100,100,100,100,100,100,100,100,100,100,0,100,100,61,0,"favorable"
99,94,90,94,76,100,99,25,84,0,80,89,17,100,3,"favorable"
100,100,100,100,97,100,92,100,100,90,28,100,96,91,43,"favorable"
90,91,90,91,88,90,90,90,90,75,0,90,100,95,0,"favorable"
92,80,92,88,87,92,90,81,76,81,22,78,76,69,48,"favorable"
80,100,100,100,66,100,26,100,100,100,3,100,80,100,2,"favorable"
72,81,84,85,51,76,91,40,69,5,35,51,44,81,50,"lightly favorable"
89,88,84,99,57,82,100,52,66,87,18,77,73,100,55,"lightly favorable"
75,75,75,75,75,75,75,10,50,0,75,75,0,80,0,"unfavorable/indifferent"
100,100,100,100,100,100,100,100,100,97,4,87,88,77,1,"favorable"
50,48,78,78,56,78,50,85,82,66,22,78,56,59,19,"favorable"
50,50,50,50,50,50,45,50,50,50,0,50,50,50,0,"unfavorable/indifferent"
70,62,60,89,59,61,31,61,59,11,30,69,60,31,0,"lightly favorable"
100,100,100,100,90,100,60,95,95,70,40,100,70,98,6,"favorable"
50,50,50,50,62,50,51,64,80,5,54,50,41,100,81,"favorable"
41,50,50,90,0,80,96,1,51,0,51,61,25,81,0,"lightly favorable"
75,72,76,73,75,79,50,77,79,69,28,80,70,40,9,"favorable"
44,59,41,48,38,45,42,48,50,41,21,81,77,60,4,"unfavorable/indifferent"
45,45,50,50,50,50,15,50,74,45,20,70,80,40,0,"lightly favorable"
98,90,80,98,76,98,98,50,46,0,45,75,59,99,50,"unfavorable/indifferent"
73,90,63,84,5,90,32,35,37,5,6,100,67,52,8,"unfavorable/indifferent"
100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,"favorable"
80,81,80,80,44,54,46,43,80,19,45,80,71,70,10,"favorable"
75,89,74,69,73,24,70,81,78,83,8,70,62,57,1,"favorable"
100,35,100,100,90,75,25,50,100,75,5,100,100,25,1,"favorable"
80,69,60,67,77,61,61,49,61,71,5,52,11,30,6,"lightly favorable"
5,100,5,21,1,68,95,2,2,1,14,92,6,77,81,"strongly unfavorable"
76,66,78,77,50,71,61,77,81,51,4,91,70,40,3,"favorable"
99,60,99,99,99,99,30,99,91,90,3,100,78,95,0,"favorable"
50,95,52,78,7,81,85,20,28,1,69,65,23,80,72,"unfavorable/indifferent"
93,63,100,99,95,97,83,87,97,62,28,99,75,100,13,"favorable"
90,80,94,90,91,90,50,96,90,92,0,100,100,70,0,"favorable"
91,91,100,99,99,96,30,98,99,80,0,100,100,51,0,"favorable"
61,55,78,78,11,59,7,79,79,86,20,97,94,50,4,"favorable"
53,46,50,50,53,52,9,64,50,51,2,53,65,63,1,"unfavorable/indifferent"
97,95,95,94,80,94,94,11,90,0,76,96,3,100,53,"favorable"
75,75,75,75,75,75,45,95,76,95,5,95,95,50,3,"favorable"
89,50,80,90,50,80,50,50,80,50,10,70,50,90,4,"favorable"
94,49,90,51,89,86,5,73,76,58,0,96,54,40,0,"favorable"
52,51,50,50,50,50,50,92,70,67,6,53,64,66,0,"lightly favorable"
100,50,52,50,52,52,37,99,82,78,4,99,74,41,0,"favorable"
70,70,70,70,70,70,70,70,70,70,10,70,70,70,10,"lightly favorable"
64,64,82,89,71,73,21,77,81,51,15,90,75,69,4,"favorable"
50,50,50,50,6,50,50,51,50,41,6,50,79,80,50,"unfavorable/indifferent"
65,65,65,65,40,65,90,50,71,30,50,50,3,95,2,"lightly favorable"
100,50,100,100,81,75,50,100,80,100,1,100,100,51,1,"favorable"
77,80,79,80,80,79,52,80,59,60,4,80,88,90,2,"lightly favorable"
81,79,79,78,55,65,71,36,76,53,20,50,50,86,35,"favorable"
50,50,50,51,53,53,85,1,9,3,54,51,5,99,50,"strongly unfavorable"
77,81,52,78,10,80,91,0,75,0,24,26,10,81,53,"lightly favorable"
50,80,50,50,50,50,70,40,51,20,3,50,95,65,1,"lightly favorable"
80,80,80,80,50,80,81,3,50,3,16,80,11,66,31,"unfavorable/indifferent"
57,79,38,57,6,77,77,20,54,2,65,44,4,81,77,"lightly favorable"
99,79,98,99,95,95,76,97,98,99,34,95,97,80,5,"favorable"
76,51,51,70,3,100,100,2,43,3,28,4,4,99,50,"unfavorable/indifferent"
63,86,19,65,19,64,50,15,46,13,51,20,11,78,39,"unfavorable/indifferent"
50,50,65,66,30,50,60,40,26,5,50,50,21,80,50,"unfavorable/indifferent"
67,76,75,72,61,85,74,79,67,74,6,50,100,84,2,"lightly favorable"
53,53,51,62,10,52,81,1,53,2,7,53,31,81,3,"lightly favorable"
50,70,76,81,50,71,51,50,50,21,51,75,51,100,3,"unfavorable/indifferent"
98,97,100,99,97,100,100,100,90,75,86,100,98,97,1,"favorable"
10,92,81,93,79,84,92,33,51,0,34,78,8,93,94,"lightly favorable"
61,67,60,55,69,72,55,50,63,20,33,65,37,63,1,"lightly favorable"
51,79,51,50,0,1,71,0,19,0,27,10,0,50,81,"strongly unfavorable"
87,95,90,88,91,94,86,53,91,28,45,94,45,95,41,"favorable"
90,91,90,91,90,90,90,1,100,0,90,51,10,100,50,"favorable"
95,95,95,95,80,95,95,95,51,5,15,95,15,100,5,"lightly favorable"
9,96,38,63,16,80,87,9,48,5,88,13,33,100,100,"unfavorable/indifferent"
99,100,50,81,13,100,100,3,52,2,50,51,1,100,100,"lightly favorable"
64,78,76,82,36,61,65,29,68,27,47,51,12,70,50,"lightly favorable"
50,50,50,50,50,68,50,0,50,0,0,50,26,85,0,"unfavorable/indifferent"
50,50,50,50,50,50,51,40,50,31,40,50,50,70,50,"unfavorable/indifferent"
100,100,100,100,89,100,100,100,50,30,79,100,30,99,20,"unfavorable/indifferent"
9,79,20,50,1,0,51,0,1,1,0,5,2,51,99,"strongly unfavorable"
100,100,100,100,100,100,76,21,100,1,20,100,49,100,3,"favorable"
71,100,100,100,30,100,100,0,60,0,50,50,0,100,50,"lightly favorable"
30,97,91,98,20,100,100,5,90,0,50,48,0,99,100,"favorable"
50,51,50,51,12,95,98,22,50,11,49,19,50,88,50,"unfavorable/indifferent"
75,99,76,76,50,79,99,6,51,4,61,10,28,98,38,"lightly favorable"
60,85,80,90,10,95,95,80,50,10,75,75,20,95,50,"unfavorable/indifferent"
98,100,97,100,98,99,99,25,99,1,51,48,2,100,100,"favorable"
90,81,97,98,91,100,73,88,94,51,3,91,85,72,1,"favorable"
81,71,78,79,69,91,83,0,76,0,60,80,0,80,91,"favorable"
100,61,100,94,80,90,0,95,91,77,40,89,91,54,0,"favorable"
50,48,40,41,41,38,51,20,42,41,50,21,50,89,13,"unfavorable/indifferent"
80,80,80,85,10,85,96,3,46,1,65,50,6,90,1,"unfavorable/indifferent"
50,27,83,100,96,51,1,50,79,78,0,100,99,50,2,"favorable"
77,61,70,91,31,81,91,29,78,6,28,12,1,90,3,"favorable"
90,90,90,90,90,90,90,90,90,20,41,90,60,90,0,"favorable"
90,90,90,95,79,90,50,90,84,69,11,90,75,80,2,"favorable"
75,76,78,75,60,61,80,23,68,26,37,50,27,81,50,"lightly favorable"
61,50,57,87,29,81,81,5,23,4,25,35,10,88,50,"strongly unfavorable"
45,50,39,50,4,97,50,0,4,0,0,49,6,50,65,"strongly unfavorable"
74,78,79,82,75,78,51,74,60,55,11,80,90,76,1,"lightly favorable"
80,80,80,80,25,80,100,0,50,0,50,80,0,100,0,"unfavorable/indifferent"
70,79,30,75,9,94,95,5,25,21,41,6,26,50,51,"strongly unfavorable"
50,81,60,67,50,76,94,38,50,12,61,50,59,85,67,"unfavorable/indifferent"
16,90,50,70,9,90,55,3,41,2,20,9,8,69,75,"unfavorable/indifferent"
91,96,97,96,93,96,78,90,85,46,11,93,99,61,3,"favorable"
88,97,97,97,74,99,93,79,93,8,43,86,37,97,25,"favorable"
50,50,50,50,11,89,94,12,50,2,50,4,50,94,50,"unfavorable/indifferent"
53,53,93,55,50,53,52,53,81,51,3,84,68,50,2,"favorable"
52,50,50,51,51,52,51,51,51,3,52,51,4,100,21,"lightly favorable"
100,100,94,100,22,100,90,59,94,66,21,100,60,84,41,"favorable"
77,76,75,77,50,75,74,55,28,55,58,78,42,77,49,"unfavorable/indifferent"
90,90,90,90,50,90,80,40,90,1,50,90,60,85,20,"favorable"
79,99,72,32,6,88,99,18,76,2,38,48,0,94,51,"favorable"
95,90,91,91,78,80,80,95,92,93,32,97,75,94,0,"favorable"
90,80,90,90,61,90,90,40,90,41,50,90,41,80,50,"favorable"
9,98,100,100,3,98,100,8,78,18,97,44,6,100,100,"favorable"
30,64,26,94,39,86,91,50,15,0,4,48,50,91,20,"strongly unfavorable"
48,78,79,69,1,72,99,1,50,1,48,2,0,98,79,"unfavorable/indifferent"
94,84,95,93,50,94,91,45,90,20,44,94,50,90,50,"favorable"
82,93,95,87,13,95,90,20,78,6,78,59,20,99,8,"favorable"
78,94,88,69,8,48,90,28,57,73,41,11,67,94,50,"lightly favorable"
50,75,75,50,1,75,50,1,75,1,25,50,1,75,2,"lightly favorable"
70,80,70,75,19,71,83,50,30,11,40,50,41,75,80,"unfavorable/indifferent"
25,50,50,50,25,50,75,0,50,0,50,50,25,75,25,"unfavorable/indifferent"
45,50,36,50,45,50,26,50,45,50,41,50,7,61,1,"unfavorable/indifferent"
100,100,100,100,20,100,100,4,77,4,5,50,3,85,10,"favorable"
61,93,100,78,43,100,90,23,75,6,59,57,24,99,43,"lightly favorable"
70,82,80,40,2,90,95,0,31,0,11,0,1,79,80,"unfavorable/indifferent"
39,40,41,31,3,30,50,3,30,2,19,36,3,90,10,"unfavorable/indifferent"
49,27,72,51,51,52,17,86,50,49,12,50,94,24,28,"unfavorable/indifferent"
91,78,91,91,91,91,45,92,91,95,21,89,91,45,0,"favorable"
30,72,50,50,50,50,29,30,50,1,1,50,79,50,0,"unfavorable/indifferent"
51,41,60,77,61,79,21,99,81,89,2,89,80,26,2,"favorable"
71,76,58,74,77,72,47,44,75,12,3,96,48,97,3,"lightly favorable"
100,100,100,100,80,100,100,50,80,20,20,50,50,100,50,"favorable"
100,50,100,100,100,100,50,100,100,100,0,100,100,50,0,"favorable"
98,98,100,97,65,95,100,34,82,20,65,48,19,97,78,"favorable"
80,75,80,80,80,80,61,7,80,50,45,80,40,80,7,"favorable"
100,100,100,100,47,100,100,31,80,2,80,30,10,100,2,"favorable"
84,92,88,63,35,58,61,50,62,61,50,59,63,54,44,"lightly favorable"
50,51,71,92,42,50,41,74,49,56,2,67,88,50,1,"unfavorable/indifferent"
82,85,85,56,21,80,84,78,82,2,90,84,18,92,51,"favorable"
90,90,90,90,80,100,89,21,51,2,50,90,51,90,6,"lightly favorable"
50,50,50,50,50,50,50,65,70,55,0,60,60,50,0,"lightly favorable"
50,74,74,77,25,80,99,0,49,1,27,47,0,100,1,"unfavorable/indifferent"
100,99,100,100,100,100,100,24,99,2,46,99,8,99,4,"favorable"
50,50,50,50,46,50,100,1,50,1,30,50,11,80,50,"unfavorable/indifferent"
90,75,90,90,80,90,41,90,80,90,10,90,90,75,0,"favorable"
96,80,75,80,64,77,100,34,51,18,34,38,28,72,63,"lightly favorable"
92,92,92,92,91,91,91,91,91,31,19,92,92,92,6,"favorable"
78,76,78,79,75,78,78,78,76,51,4,78,26,78,1,"favorable"
93,90,80,83,31,94,99,0,94,0,84,50,0,100,90,"favorable"
99,99,99,99,70,99,100,38,69,7,48,30,24,99,4,"lightly favorable"
66,60,67,76,65,80,50,6,54,1,65,53,4,92,52,"lightly favorable"
60,70,70,65,28,100,100,0,25,0,50,50,0,100,21,"strongly unfavorable"
61,60,61,60,51,51,51,31,61,6,51,46,21,57,30,"lightly favorable"
72,73,72,73,75,73,99,51,73,0,69,72,46,91,0,"lightly favorable"
84,75,82,80,65,63,53,84,66,88,3,86,78,34,3,"lightly favorable"
89,90,91,92,92,91,88,97,82,90,5,91,82,81,0,"favorable"
27,92,51,51,7,99,93,47,50,0,51,52,3,100,50,"unfavorable/indifferent"
29,75,76,99,1,99,75,1,26,1,1,81,75,76,51,"unfavorable/indifferent"
100,80,100,100,80,100,100,20,100,20,65,100,60,100,1,"favorable"
50,50,50,50,50,50,50,50,50,50,60,50,40,95,1,"unfavorable/indifferent"
50,51,50,50,50,50,50,3,50,1,6,50,3,78,50,"unfavorable/indifferent"
99,100,100,99,51,100,59,31,99,9,3,99,4,99,97,"favorable"
51,96,21,81,21,40,71,0,19,0,0,34,51,77,60,"strongly unfavorable"
50,50,50,50,50,50,50,50,50,50,0,50,75,50,0,"unfavorable/indifferent"
97,89,100,77,60,93,100,37,77,8,31,43,34,99,52,"favorable"
52,51,54,53,53,51,50,59,52,55,55,53,53,56,53,"lightly favorable"
75,84,60,66,25,75,85,41,51,1,50,51,5,93,2,"lightly favorable"
100,100,99,100,99,100,95,80,100,80,50,99,60,99,0,"favorable"
89,89,100,100,60,100,100,50,50,0,84,51,30,100,50,"unfavorable/indifferent"
70,85,88,82,31,91,88,20,53,9,53,75,15,84,19,"lightly favorable"
90,52,76,81,80,89,51,80,81,91,31,100,79,50,0,"favorable"
100,50,100,100,80,100,9,100,81,90,0,100,100,10,0,"favorable"
82,70,72,82,51,92,79,4,61,14,30,79,28,81,51,"lightly favorable"
10,99,41,84,0,80,100,15,0,0,50,9,20,97,89,"strongly unfavorable"
79,79,67,66,48,64,44,44,64,6,6,73,8,66,7,"lightly favorable"
75,100,100,100,10,100,100,10,100,1,50,100,50,100,100,"favorable"
80,78,80,80,1,89,88,50,80,4,50,50,50,80,71,"favorable"
69,78,72,76,31,78,73,29,69,13,51,50,27,93,28,"lightly favorable"
61,94,51,84,50,90,79,10,50,0,50,50,0,100,70,"unfavorable/indifferent"
56,90,56,51,78,97,95,31,30,1,51,94,2,100,78,"unfavorable/indifferent"
69,76,70,95,59,85,62,48,75,44,50,56,69,90,59,"lightly favorable"
28,83,47,88,25,60,91,22,4,0,88,11,24,100,98,"strongly unfavorable"
46,77,52,50,1,47,100,0,3,1,1,1,0,70,50,"strongly unfavorable"
87,79,92,92,91,99,89,32,89,6,69,89,52,99,42,"favorable"
100,100,93,100,99,99,100,49,80,3,98,82,6,99,51,"favorable"
50,50,50,50,50,50,51,1,50,1,50,50,21,80,59,"unfavorable/indifferent"
76,78,79,91,76,68,17,48,77,47,12,78,84,45,5,"favorable"
100,100,100,100,100,100,35,100,100,100,25,100,100,100,0,"favorable"
55,100,83,99,1,99,99,50,53,2,50,50,28,98,52,"lightly favorable"
50,100,99,100,0,100,100,21,98,0,98,50,4,100,99,"favorable"
90,90,90,90,50,80,50,90,80,90,20,90,90,75,0,"favorable"
50,31,59,79,25,80,30,89,79,70,2,81,59,71,0,"favorable"
40,85,66,91,0,91,82,31,50,0,30,50,50,90,50,"unfavorable/indifferent"
80,80,80,90,30,80,90,40,46,25,60,75,50,90,60,"unfavorable/indifferent"
99,95,91,97,95,98,99,6,50,1,79,51,20,89,5,"unfavorable/indifferent"
60,60,60,60,66,60,60,60,60,50,49,60,49,90,0,"lightly favorable"
51,50,53,50,31,51,86,40,51,5,50,38,11,79,42,"lightly favorable"
91,90,90,90,71,100,100,0,40,1,75,11,60,100,90,"unfavorable/indifferent"
50,50,50,50,50,50,59,50,50,4,46,50,12,90,53,"unfavorable/indifferent"
95,50,90,90,90,90,90,50,80,60,75,90,80,90,50,"favorable"
95,95,95,95,10,95,96,0,50,0,75,50,1,95,95,"unfavorable/indifferent"
98,93,78,100,61,99,96,70,100,51,27,91,98,100,52,"favorable"
54,49,66,78,17,51,27,39,51,25,6,75,93,25,3,"lightly favorable"
